name,slug,aliases,category_key,category_name,market_status,recruitment_status,is_active,website_url,website_url_status,source_urls
Flaster,flaster,,other,Pozostałe,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2413/flaster/
FranczyzaLangos.pl – Biznes w 14 dni,franczyzalangos-pl-biznes-w-14-dni,,gastronomy,Gastronomia,listed,listed_offer,True,,missing,https://franczyzawpolsce.pl/baza-sieci/gastronomia/franczyzalangos-pl-biznes-w-14-dni/
Freedom Franchise,freedom-franchise,,property,Nieruchomości,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/1418/freedom-franchise/
Fruitisimo,fruitisimo,,other,Pozostałe,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/1982/fruitisimo/
Furgonetka Punkt,furgonetka-punkt,,services,Usługi dla konsumentów,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2094/furgonetka-punkt/
Galileusz,galileusz,,education,Edukacja,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/1425/galileusz/
Gatta,gatta,,retail,Handel detaliczny,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/1207/gatta/
Generali,generali,,finance,Finanse i ubezpieczenia,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2244/generali/
Gentlemen Barber Shop,gentlemen-barber-shop,,other,Pozostałe,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2269/gentlemen-barber-shop/
Giant,giant,,services,Usługi dla konsumentów,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2273/giant/
Giganci Programowania,giganci-programowania,,fashion,Odzież i obuwie,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/1863/giganci-programowania/
Global Neovision,global-neovision,,services,Usługi dla konsumentów,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2272/global-neovision/
Good Chicken,good-chicken,,other,Pozostałe,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2330/good-chicken/
Granit Quality Parts,granit-quality-parts,,retail,Handel detaliczny,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/1823/granit-quality-parts/
Greathouse,greathouse,,property,Nieruchomości,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2260/greathouse/
Greenpoint,greenpoint,GREENPOINT,fashion,Odzież i obuwie,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/376/greenpoint/ | https://franczyzawpolsce.pl/baza-sieci/odziez-i-obuwie/greenpoint/
Groszek,groszek,,food-retail,Artykuły spożywcze,uncertain,unknown,True,https://www.groszek.com.pl,unverified_seed,https://www.groszek.com.pl
Gruby Benek,gruby-benek,,other,Pozostałe,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/542/gruby-benek/
Grupa WGN,grupa-wgn,,property,Nieruchomości,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/666/grupa-wgn/
Haircut Express,haircut-express,,beauty,Uroda i kosmetyki,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/1486/haircut-express/
Helen Doron English,helen-doron,Helen Doron English / Español,education,Edukacja,listed,listed_offer,True,https://www.helendoron.pl,unverified_seed,https://franchising.pl/franczyza/5/helen-doron-english-espanol/ | https://www.helendoron.pl
HeroVR,herovr,,other,Pozostałe,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2404/herovr/
Homla,homla,,retail,Handel detaliczny,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2217/homla/
Husse,husse,,other,Pozostałe,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/521/husse/
In.Time,in-time,IN.TIME,health-fitness,Sport i zdrowie,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2201/in-time/ | https://franczyzawpolsce.pl/baza-sieci/sport-i-zdrowie/in-time/
INTERMARCHÉ,intermarche,,food-retail,Artykuły spożywcze,listed,listed_offer,True,,missing,https://franczyzawpolsce.pl/baza-sieci/artykuly-spozywcze/intermarche/
Intermarché (Grupa Muszkieterów),intermarche-grupa-muszkieterow,,food-retail,Artykuły spożywcze,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/13/intermarche-grupa-muszkieterow/
